Parent Name,Parent Id,Identifier,Company Name,Type,Relationship,Country/Region,Industry,Confidence Score (%),Last Update Date,Days Since Last Update,Freshness,Snippet Count,Revenue (USD),EQ Score,Implied Rating,fetch_time
Subsea 7 SA,4295883093,5050903863,Burullus Gas Company SAE,Private,Customer,Egypt,Oil & Gas Exploration and Production,0.31421704,2018-06-13,1331,2,2,,,,2022-02-03 18:35:00
Subsea 7 SA,4295883093,5000051069,Hess Denmark ApS,Private,Customer,Denmark,-,0.281408,2018-11-26,1165,3,2,14070637.1235385,,BB+,2022-02-03 18:35:00
Subsea 7 SA,4295883093,5000161974,Chevron Overseas (Congo) Ltd,Private,Customer,Bermuda,Business Support Services,0.31444736,2012-08-16,3458,1,2,,,,2022-02-03 18:35:00
Subsea 7 SA,4295883093,5043331395,Aker Solutions ASA,Public,Supplier,Norway,Oil Related Services and Equipment,0.992482701937337,2021-07-09,209,5,11,3135317124.39834,87.0,BB+,2022-02-03 18:35:00
Subsea 7 SA,4295883093,4295867349,Technip SA,Private,Supplier,France,Oil Related Services and Equipment,0.627031384480589,2016-07-27,2017,1,4,11476229753.454,,,2022-02-03 18:35:00
Subsea 7 SA,4295883093,5051791783,TechnipFMC PLC,Public,Supplier,United Kingdom,Oil Related Services and Equipment,0.625144671197414,2021-03-05,335,5,4,13050600000.0,47.0,CCC+,2022-02-03 18:35:00
Subsea 7 SA,4295883093,4295885727,Akastor ASA,Public,Supplier,Norway,Oil Related Services and Equipment,0.316878,2016-09-13,1969,1,2,488493415.081794,5.0,BB-,2022-02-03 18:35:00
Subsea 7 SA,4295883093,4296125319,Shell International Ltd,Private,Customer,United Kingdom,Business Support Services,0.31807776,2018-12-17,1144,3,2,,,,2022-02-03 18:35:00
Subsea 7 SA,4295883093,4295893562,Turkiye Petrol Rafinerileri AS,Public,Customer,Turkey,Oil & Gas Refining and Marketing,0.31915952,2021-11-15,80,5,2,9095692462.016,97.0,BB+,2022-02-03 18:35:00
Subsea 7 SA,4295883093,4295889865,Vattenfall AB,Private,Customer,Sweden,Multiline Utilities,0.3038404,2019-04-18,1022,3,2,17326010454.1515,,A-,2022-02-03 18:35:00
Subsea 7 SA,4295883093,4295894926,Tullow Oil PLC,Public,Customer,United Kingdom,Oil & Gas Exploration and Production,0.29408352,2020-01-09,756,4,2,1177400000.0,93.0,BB-,2022-02-03 18:35:00
Subsea 7 SA,4295883093,5051791783,TechnipFMC PLC,Public,Customer,United Kingdom,Oil Related Services and Equipment,0.26443144,2018-07-26,1288,2,2,13050600000.0,47.0,CCC+,2022-02-03 18:35:00
Subsea 7 SA,4295883093,4297992731,Woodside Energy Ltd,Private,Customer,Australia,Oil & Gas Refining and Marketing,0.635493277696858,2019-03-06,1065,3,4,,,,2022-02-03 18:35:00
Subsea 7 SA,4295883093,5036225407,Tekmar Ltd,Private,Supplier,United Kingdom,Investment Holding Companies,0.61583923312896,2018-07-13,1301,2,4,,,,2022-02-03 18:35:00
Subsea 7 SA,4295883093,4298136696,Schilling Robotics LLC,Private,Supplier,United States of America,Electronic Equipment & Parts,0.30192784,2012-02-14,3642,1,2,58763110.0,,,2022-02-03 18:35:00
Cummins Inc,4295903829,4295869694,Mercedes-Benz Group AG,Public,Customer,Germany,Auto & Truck Manufacturers,0.699468251658897,2021-02-10,358,5,6,176138194955.17,43.0,BBB+,2022-02-03 17:38:00
Cummins Inc,4295903829,4295900661,Revlon Consumer Products Corp,Private,Customer,United States of America,Personal Products,0.5475158328,2017-11-03,1553,2,3,1904300000.0,,CC,2022-02-03 17:38:00
Cummins Inc,4295903829,5057776340,Beijing TuSimple Future Technology Co Ltd,Private,Customer,China,"Auto, Truck & Motorcycle Parts",0.29686112,2019-01-07,1123,3,2,,,,2022-02-03 17:38:00
Cummins Inc,4295903829,4295873058,Cummins India Ltd,Public,Customer,India,"Auto, Truck & Motorcycle Parts",0.617934001358438,2015-07-07,2403,1,4,587546160.08716,76.0,AA-,2022-02-03 17:38:00
Cummins Inc,4295903829,4296123182,USA Compression Partners LP,Public,Customer,United States of America,Oil Related Services and Equipment,0.3135848,2018-02-13,1451,2,2,667683000.0,60.0,CCC,2022-02-03 17:38:00
Cummins Inc,4295903829,5001172120,Filtration SAS,Private,Customer,France,Industrial Machinery & Equipment,0.30208496,2017-03-08,1793,1,2,13344988.9061125,,AA-,2022-02-03 17:38:00
Cummins Inc,4295903829,4295903068,Ford Motor Co,Public,Customer,United States of America,Auto & Truck Manufacturers,0.64520104663177,2018-05-14,1361,2,4,127144000000.0,31.0,BB,2022-02-03 17:38:00
Cummins Inc,4295903829,4298348734,Valvoline Inc,Public,Supplier,United States of America,Specialty Chemicals,0.558858548352,2018-11-21,1170,3,3,,59.0,,2022-02-03 17:38:00
Cummins Inc,4295903829,4295881548,Hyundai Motor Co,Public,Supplier,Korea; Republic (S. Korea),Auto & Truck Manufacturers,0.2877244,2019-09-27,860,4,2,102845876641.019,12.0,BB+,2022-02-03 17:38:00
Ford Motor Credit Company LLC,4295900592,4296763791,American Road Insurance Co,Private,Supplier,United States of America,Multiline Insurance & Brokers,0.28919768,2018-02-08,1456,2,2,830264.0,,,2022-02-03 14:19:00
LG Electronics Inc,4295881987,4295908399,Advanced Analogic Technologies inc,Private,Supplier,United States of America,Semiconductors,0.619501701527962,2011-05-03,3929,1,4,94061000.0,,,2022-02-03 18:34:00
LG Electronics Inc,4295881987,4295891739,MediaTek Inc,Public,Supplier,Taiwan,Semiconductors,0.569790925248,2021-11-22,73,5,3,10946321526.2639,83.0,AA,2022-02-03 18:34:00
LG Electronics Inc,4295881987,4295905486,Skyworks Solutions Inc,Public,Supplier,United States of America,Semiconductors,0.576104448,2016-08-29,1984,1,3,5109100000.0,50.0,BBB-,2022-02-03 18:34:00
LG Electronics Inc,4295881987,4295907347,VMware Inc,Public,Supplier,United States of America,IT Services & Consulting,0.29373152,2013-08-27,3082,1,2,11767000000.0,90.0,BB,2022-02-03 18:34:00
LG Electronics Inc,4295881987,5057826828,DSP Concepts Inc,Private,Supplier,United States of America,Phones & Handheld Devices,0.31145856,2021-12-28,37,5,2,,,,2022-02-03 18:34:00
LG Electronics Inc,4295881987,4295904966,Sprint Communications Inc,Private,Customer,United States of America,Wireless Telecommunications Services,0.29787656,2014-04-02,2864,1,2,16891000000.0,,,2022-02-03 18:34:00
LG Electronics Inc,4295881987,4295916023,ON Semiconductor Corp,Public,Supplier,United States of America,Semiconductors,0.587135063712,2012-11-02,3380,1,3,5255000000.0,80.0,BBB-,2022-02-03 18:34:00
LG Electronics Inc,4295881987,4296671653,GCT Semiconductor Inc,Private,Supplier,United States of America,Semiconductors,0.3192796,2013-02-25,3265,1,2,68644000.0,,,2022-02-03 18:34:00
LG Electronics Inc,4295881987,4295861766,BlackBerry Ltd,Public,Supplier,Canada,Software,0.31567208,2019-06-30,949,3,2,893000000.0,31.0,BB-,2022-02-03 18:34:00
LG Electronics Inc,4295881987,4295905573,Apple Inc,Public,Customer,United States of America,Phones & Handheld Devices,0.703072578009752,2021-11-19,76,5,6,365817000000.0,80.0,A,2022-02-03 18:34:00
LG Electronics Inc,4295881987,4295907168,Microsoft Corp,Public,Supplier,United States of America,Software,0.537041781072,2020-02-18,716,4,3,168088000000.0,78.0,A,2022-02-03 18:34:00
DS Smith PLC,4295894074,4295905494,Amazon.com Inc,Public,Customer,United States of America,Department Stores,0.992345969130506,2021-12-09,57,5,10,386064000000.0,21.0,BBB-,2022-02-04 11:10:00
DS Smith PLC,4295894074,5055473879,Zymeworks Inc,Public,Customer,Canada,Biotechnology & Medical Research,0.29109096,2017-11-21,1536,2,2,946670.874092774,1.0,,2022-02-04 11:10:00
Brightstar Corp,4296334059,4295892925,Total Access Communication PCL,Public,Customer,Thailand,Wireless Telecommunications Services,0.557150319168,2012-05-03,3565,1,3,2546497362.58532,43.0,BB-,2022-02-05 20:25:00
Navistar International Corp,4295904608,4295904988,Stoneridge Inc,Public,Supplier,United States of America,"Auto, Truck & Motorcycle Parts",0.627276065690496,2014-03-07,2890,1,4,648006000.0,13.0,B-,2022-02-03 14:41:00
Navistar International Corp,4295904608,4295870249,Saf-Holland Se,Public,Supplier,Germany,Auto & Truck Manufacturers,0.29054496,2016-11-02,1919,1,2,1095256561.08969,72.0,BBB-,2022-02-03 14:41:00
Navistar International Corp,4295904608,4295902628,Commercial Vehicle Group Inc,Public,Supplier,United States of America,"Auto, Truck & Motorcycle Parts",0.6430735632,2019-03-11,1060,3,4,717699000.0,46.0,B+,2022-02-03 14:41:00
Navistar International Corp,4295904608,4295903068,Ford Motor Co,Public,Customer,United States of America,Auto & Truck Manufacturers,0.27326128,2019-03-08,1063,3,2,127144000000.0,31.0,BB,2022-02-03 14:41:00
Navistar International Corp,4295904608,4295900548,Accuride Corp,Private,Supplier,United States of America,"Auto, Truck & Motorcycle Parts",0.653784374018548,2017-02-16,1813,1,5,685574000.0,,,2022-02-03 14:41:00
WABCO Holdings Inc,4295899340,4295869187,Iveco Magirus AG,Private,Customer,Germany,Heavy Machinery & Vehicles,0.718099057889312,2013-12-04,2983,1,7,,,A-,2022-02-03 18:49:00
WABCO Holdings Inc,4295899340,4297866296,FCA US LLC,Private,Customer,United States of America,Auto & Truck Manufacturers,0.28397672,2012-06-13,3522,1,2,83093000000.0,,,2022-02-03 18:49:00
WABCO Holdings Inc,4295899340,5000012184,Shaanxi Fast Auto Drive Group Co Ltd,Private,Supplier,China,"Auto, Truck & Motorcycle Parts",0.31602704,2013-02-15,3275,1,2,382581986.590312,,,2022-02-03 18:49:00
WABCO Holdings Inc,4295899340,4295893557,Ford Otomotiv Sanayi AS,Public,Customer,Turkey,Auto & Truck Manufacturers,0.523376439168,2013-10-25,3023,1,3,7112075542.65955,96.0,A+,2022-02-03 18:49:00
WABCO Holdings Inc,4295899340,4295903829,Cummins Inc,Public,Supplier,United States of America,"Auto, Truck & Motorcycle Parts",0.30216544,2011-07-28,3843,1,2,19811000000.0,90.0,BBB,2022-02-03 18:49:00
ViaSat Inc,4295908314,4295875046,El Al Israel Airlines Ltd,Public,Customer,Israel,Airlines,0.978106787514048,2019-11-07,819,4,8,623075000.0,21.0,CCC,2022-02-03 19:12:00
ViaSat Inc,4295908314,4296673141,Netcracker Technology Corp,Private,Supplier,United States of America,Software,0.638954964639552,2020-05-19,625,4,4,291791707.0,,,2022-02-03 19:12:00
ViaSat Inc,4295908314,4295903799,United Airlines Inc,Private,Customer,United States of America,Airlines,0.644281321984896,2019-11-08,818,4,4,24634000000.0,,CCC-,2022-02-03 19:12:00
ViaSat Inc,4295908314,4296665734,RigNet Inc,Private,Supplier,United States of America,Online Services,0.571683841536,2020-12-21,409,5,3,207921000.0,,CC,2022-02-03 19:12:00
ViaSat Inc,4295908314,4295880559,Japan Airlines Co Ltd,Public,Customer,Japan,Airlines,0.2811432,2020-03-03,702,4,2,4540205119.42287,1.0,BB-,2022-02-03 19:12:00
ViaSat Inc,4295908314,4296713193,Arianespace SASU,Private,Customer,France,Government Administration Activities,0.535928323584,2020-03-31,674,4,3,1858359991.66897,,,2022-02-03 19:12:00
ViaSat Inc,4295908314,4295903281,AAR Corp,Public,Supplier,United States of America,Aerospace & Defense,0.30007744,2018-01-17,1478,2,2,1652300000.0,35.0,BBB,2022-02-03 19:12:00
ViaSat Inc,4295908314,4297758780,Niagara Thermal Products LLC,Private,Supplier,United States of America,Renewable Energy Equipment & Services,0.30488,2013-08-14,3095,1,2,24893502.0,,,2022-02-03 19:12:00
ViaSat Inc,4295908314,5040245167,Northrop Grumman Australia Pty Ltd,Private,Customer,Australia,Aerospace & Defense,0.3075676,2017-11-08,1548,2,2,,,,2022-02-03 19:12:00
ViaSat Inc,4295908314,4295858622,Qantas Airways Ltd,Public,Customer,Australia,Airlines,0.31484,2018-05-16,1359,2,2,4129490271.03179,3.0,BB+,2022-02-03 19:12:00
ViaSat Inc,4295908314,4295907729,Radisys Corp,Private,Supplier,United States of America,Computer Hardware,0.30996272,2012-02-02,3654,1,2,133768000.0,,CCC-,2022-02-03 19:12:00
ViaSat Inc,4295908314,4295905366,Telesat Corp,Public,Supplier,Canada,Integrated Telecommunications Services,0.55140183744,2014-05-20,2816,1,3,,,A,2022-02-03 19:12:00
ViaSat Inc,4295908314,5037659358,Amplitech Group Inc,Public,Supplier,United States of America,Communications & Networking,0.32,2020-03-25,680,4,2,3458081.0,6.0,BBB-,2022-02-03 19:12:00
ViaSat Inc,4295908314,4295860745,Bombardier Inc,Public,Customer,Canada,Aerospace & Defense,0.67475710655361,2021-04-29,280,5,5,6487000000.0,6.0,CCC,2022-02-03 19:12:00
ViaSat Inc,4295908314,4295867367,Dassault Aviation SA,Public,Customer,France,Aerospace & Defense,0.29265456,2016-05-24,2081,1,2,6268455516.59495,3.0,A+,2022-02-03 19:12:00
ViaSat Inc,4295908314,4295907168,Microsoft Corp,Public,Customer,United States of America,Software,0.537968489088,2020-09-22,499,4,3,168088000000.0,78.0,A,2022-02-03 19:12:00
ViaSat Inc,4295908314,4295866490,Finnair Oyj,Public,Supplier,Finland,Airlines,0.31028352,2016-09-01,1981,1,2,946502091.626715,2.0,B,2022-02-03 19:12:00
ViaSat Inc,4295908314,4297144968,Space Exploration Technologies Corp,Private,Supplier,United States of America,Aerospace & Defense,0.31273,2018-10-26,1196,3,2,2074345201.0,,,2022-02-03 19:12:00
Subsea 7 SA,4295883093,4295894740,BP PLC,Public,Customer,United Kingdom,Oil & Gas Refining and Marketing,0.987965419729751,2021-09-13,143,5,10,161291000000.0,73.0,CCC+,2022-02-03 18:35:00
Subsea 7 SA,4295883093,4295885577,Dof ASA,Public,Supplier,Norway,Oil Related Services and Equipment,0.28551824,2019-02-27,1072,3,2,662559190.936267,24.0,B+,2022-02-03 18:35:00
Subsea 7 SA,4295883093,4296215042,ExxonMobil Canada Ltd,Private,Customer,Canada,Oil & Gas Exploration and Production,0.29018096,2014-02-28,2897,1,2,1836391242.59888,,,2022-02-03 18:35:00
Subsea 7 SA,4295883093,4295885579,Dof Subsea AS,Private,Customer,Norway,Shipbuilding,0.5202080112,2019-02-27,1072,3,3,355211556.15242,,,2022-02-03 18:35:00
Subsea 7 SA,4295883093,4295894725,Centrica PLC,Public,Customer,United Kingdom,Multiline Utilities,0.29833248,2016-12-15,1876,1,2,19186361035.6043,55.0,BB,2022-02-03 18:35:00
Subsea 7 SA,4295883093,4298455044,Exova Group Ltd,Private,Supplier,United Kingdom,Business Support Services,0.29763488,2016-10-10,1942,1,2,445295264.393602,,,2022-02-03 18:35:00
Subsea 7 SA,4295883093,4295896510,Dana Petroleum Ltd,Private,Customer,United Kingdom,Oil & Gas Exploration and Production,0.29284416,2018-11-26,1165,3,2,924765255.379205,,,2022-02-03 18:35:00
Subsea 7 SA,4295883093,4295903744,Chevron Corp,Public,Customer,United States of America,Oil & Gas Refining and Marketing,0.583651848,2020-05-29,615,4,3,155606000000.0,62.0,BBB,2022-02-03 18:35:00
Subsea 7 SA,4295883093,4295867374,Vallourec SA,Public,Supplier,France,Oil Related Services and Equipment,0.56218004064,2014-05-26,2810,1,3,3701083432.09173,64.0,BB-,2022-02-03 18:35:00
Subsea 7 SA,4295883093,4295885579,Dof Subsea AS,Private,Supplier,Norway,Shipbuilding,0.31359104,2020-05-06,638,4,2,355211556.15242,,,2022-02-03 18:35:00
Cummins Inc,4295903829,4297866296,FCA US LLC,Private,Customer,United States of America,Auto & Truck Manufacturers,0.709553531859776,2020-04-28,646,4,6,83093000000.0,,,2022-02-03 17:38:00
Cummins Inc,4295903829,4298365629,Daimler Trucks North America LLC,Private,Customer,United States of America,Auto & Truck Manufacturers,0.5760746184,2021-02-23,345,5,3,1572256830.0,,,2022-02-03 17:38:00
Cummins Inc,4295903829,4297271463,PayScale Inc,Private,Supplier,United States of America,Software,0.587459423808,2016-04-21,2114,1,3,62687954.0,,,2022-02-03 17:38:00
Cummins Inc,4295903829,4295899340,WABCO Holdings Inc,Private,Supplier,Switzerland,Heavy Machinery & Vehicles,0.5794565304,2016-04-28,2107,1,3,3421400000.0,,A-,2022-02-03 17:38:00
Cummins Inc,4295903829,4298367609,Boise Peterbilt Inc,Private,Customer,United States of America,Auto & Truck Manufacturers,0.31407776,2017-11-26,1530,2,2,16947881.0,,,2022-02-03 17:38:00
Cummins Inc,4295903829,5000179423,WABCO Compressor Manufacturing Co,Private,Supplier,United States of America,Industrial Machinery & Equipment,0.3003768,2012-03-21,3606,1,2,51498842.0,,,2022-02-03 17:38:00
Cummins Inc,4295903829,5000317136,Stanadyne India Pvt Ltd,Private,Supplier,India,Construction & Engineering,0.56943171336,2013-03-29,3233,1,3,2934960.33873514,,,2022-02-03 17:38:00
Cummins Inc,4295903829,4295869190,Heliocentris Energy Solutions AG,Private,Supplier,Germany,Renewable Energy Equipment & Services,0.30392,2014-07-02,2773,1,2,24542311.2622055,,,2022-02-03 17:38:00
Cummins Inc,4295903829,4298034272,R1 RCM Inc,Public,Supplier,United States of America,Healthcare Facilities & Services,0.573957681024,2018-11-07,1184,3,3,1270800000.0,84.0,B,2022-02-03 17:38:00
Cummins Inc,4295903829,5035166483,IQGeo Group PLC,Public,Supplier,United Kingdom,Software,0.2898924,2014-04-09,2857,1,2,11750025.7730254,2.0,BBB-,2022-02-03 17:38:00
Cummins Inc,4295903829,4297507379,Chrysler Ltd,Private,Customer,,Auto & Truck Manufacturers,0.720647699654209,2016-12-15,1876,1,7,,,,2022-02-03 17:38:00
Ford Motor Credit Company LLC,4295900592,4295903068,Ford Motor Co,Public,Supplier,United States of America,Auto & Truck Manufacturers,0.972619125822796,2020-11-12,448,4,8,127144000000.0,31.0,BB,2022-02-03 14:19:00
LG Electronics Inc,4295881987,4295869244,Volkswagen AG,Public,Customer,Germany,Auto & Truck Manufacturers,0.621047415987149,2021-08-28,159,5,4,254414100566.967,36.0,BBB+,2022-02-03 18:34:00
LG Electronics Inc,4295881987,4295905494,Amazon.com Inc,Public,Supplier,United States of America,Department Stores,0.3104256,2019-08-21,897,4,2,386064000000.0,21.0,BBB-,2022-02-03 18:34:00
LG Electronics Inc,4295881987,4295904853,AT&T Inc,Public,Customer,United States of America,Wireless Telecommunications Services,0.30107456,2019-10-22,835,4,2,168864000000.0,48.0,BB-,2022-02-03 18:34:00
LG Electronics Inc,4295881987,4295871523,China Mobile Ltd,Public,Customer,China,Integrated Telecommunications Services,0.288668,2019-01-10,1120,3,2,111400869428.366,89.0,AAA,2022-02-03 18:34:00
LG Electronics Inc,4295881987,4297235748,Brightcove Inc,Public,Supplier,United States of America,Online Services,0.3130188,2012-09-06,3437,1,2,197353000.0,76.0,A,2022-02-03 18:34:00
LG Electronics Inc,4295881987,4295900382,Piksel Inc,Public,Supplier,United States of America,Online Services,0.56091505296,2011-11-09,3739,1,3,214932000.0,,,2022-02-03 18:34:00
LG Electronics Inc,4295881987,5052506653,Quantum Technology Co Ltd,Private,Supplier,Japan,Software,0.309488,2022-01-10,24,5,2,,,,2022-02-03 18:34:00
LG Electronics Inc,4295881987,4295914943,Silicon Laboratories Inc,Public,Supplier,United States of America,Semiconductors,0.588,2016-07-14,2030,1,3,,60.0,BBB-,2022-02-03 18:34:00
LG Electronics Inc,4295881987,5038061248,Sprint Corp,Private,Customer,United States of America,Wireless Telecommunications Services,0.27668768,2019-10-22,835,4,2,33600000000.0,,CCC,2022-02-03 18:34:00
LG Electronics Inc,4295881987,4295882301,LG Innotek Co Ltd,Public,Supplier,Korea; Republic (S. Korea),Electronic Equipment & Parts,0.30532552,2016-07-13,2031,1,2,13069348508.8576,44.0,BBB+,2022-02-03 18:34:00
LG Electronics Inc,4295881987,4296648540,Paragon Software Inc,Private,Supplier,United Kingdom,Software,0.30849888,2013-07-09,3131,1,2,,,,2022-02-03 18:34:00
LG Electronics Inc,4295881987,4295908075,Synopsys Inc,Public,Supplier,United States of America,Software,0.3027116,2018-09-18,1234,3,2,4204193000.0,80.0,A+,2022-02-03 18:34:00
LG Electronics Inc,4295881987,4295904307,International Business Machines Corp,Public,Supplier,United States of America,IT Services & Consulting,0.2983888,2022-01-10,24,5,2,57350000000.0,65.0,BB-,2022-02-03 18:34:00
Cowell e Holdings Inc,4298008950,4295905573,Apple Inc,Public,Customer,United States of America,Phones & Handheld Devices,0.994592047770348,2017-02-20,1810,1,11,365817000000.0,80.0,A,2022-02-04 11:38:00
Cowell e Holdings Inc,4298008950,4295882451,Samsung Electronics Co Ltd,Public,Customer,Korea; Republic (S. Korea),Phones & Handheld Devices,0.98138491038618,2017-02-20,1810,1,8,243974550248.924,76.0,A+,2022-02-04 11:38:00
Chunghwa Telecom Co Ltd,4295890973,4295866480,Nokia Oyj,Public,Supplier,Finland,Communications & Networking,0.985852710049849,2021-04-20,289,5,9,24943275091.9283,91.0,A,2022-02-03 12:54:00
Chunghwa Telecom Co Ltd,4295890973,4297125150,Maxlinear Inc,Public,Supplier,United States of America,Semiconductors,0.29006096,2019-01-08,1122,3,2,478596000.0,84.0,BBB-,2022-02-03 12:54:00
Chunghwa Telecom Co Ltd,4295890973,5001202089,IOT Group Ltd,Private,Supplier,Australia,Communications & Networking,0.5784018888,2017-07-14,1665,1,3,534378.090307953,,,2022-02-03 12:54:00
