entity1,entity2,rel,Confidence Score (%)
Accenture PLC,Google LLC,Supplier,0.568610174064
Google LLC,Accenture PLC,Supplier,0.622766387063597
Accenture PLC,Microsoft Corp,Supplier,0.722248610497993
Microsoft Corp,Accenture PLC,Supplier,0.702689000420067
Accenture PLC,SAP SE,Supplier,0.990981716365056
SAP SE,Accenture PLC,Supplier,0.997842386972016
Accenture PLC,Salesforce.Com Inc,Supplier,0.970533601703258
Salesforce.Com Inc,Accenture PLC,Supplier,0.66144584942952
Acer Inc,Microsoft Corp,Supplier,0.55842339792
Microsoft Corp,Acer Inc,Supplier,0.55657991856
Acura Pharmaceuticals Inc,Honda Motor Co Ltd,Supplier,0.30412904
Honda Motor Co Ltd,Acura Pharmaceuticals Inc,Supplier,0.557692032
Adobe Inc,Microsoft Corp,Supplier,0.700281891738885
Microsoft Corp,Adobe Inc,Supplier,0.697304498792205
Advanced Micro Devices Inc,Globalfoundries Inc,Supplier,0.999992055544756
Globalfoundries Inc,Advanced Micro Devices Inc,Supplier,0.999603916724649
Advanced Micro Devices Inc,Hewlett Packard Enterprise Co,Supplier,0.622957321484083
Hewlett Packard Enterprise Co,Advanced Micro Devices Inc,Supplier,0.668013621633662
Advanced Micro Devices Inc,Lenovo Group Ltd,Supplier,0.27878648
Lenovo Group Ltd,Advanced Micro Devices Inc,Supplier,0.970429552423883
Advanced Micro Devices Inc,NVIDIA Corp,Supplier,0.621344161928294
NVIDIA Corp,Advanced Micro Devices Inc,Supplier,0.658034533794691
Advanced Micro Devices Inc,Samsung Electronics Co Ltd,Supplier,0.672651725839314
Samsung Electronics Co Ltd,Advanced Micro Devices Inc,Supplier,0.996268338760412
Aegis Logistics Ltd,Lockheed Martin Corp,Supplier,0.650999727974941
Lockheed Martin Corp,Aegis Logistics Ltd,Supplier,0.2793632
Aenza SAA,Novonor SA em Recuperacao Judicial,Supplier,0.29182784
Novonor SA em Recuperacao Judicial,Aenza SAA,Supplier,0.28802624
Aerkomm Inc,Airbus SE,Supplier,0.31358432
Airbus SE,Aerkomm Inc,Supplier,0.30948304
Aeroflot-Rossiyskiye Avialinii PAO,Airbus SE,Supplier,0.629348309617728
Airbus SE,Aeroflot-Rossiyskiye Avialinii PAO,Supplier,0.54343149312
Aeroflot-Rossiyskiye Avialinii PAO,Boeing Co,Supplier,0.704459976982235
Boeing Co,Aeroflot-Rossiyskiye Avialinii PAO,Supplier,0.612438546902131
Agilent Technologies Inc,Electro Rent Corp,Supplier,0.30905368
Electro Rent Corp,Agilent Technologies Inc,Supplier,0.550487140608
Agilent Technologies Inc,Keysight Technologies Inc,Supplier,0.674896620966798
Keysight Technologies Inc,Agilent Technologies Inc,Supplier,0.975171161935583
Aimia Inc,Air Canada,Supplier,0.674161175004883
Air Canada,Aimia Inc,Supplier,0.627859710459494
Air Canada,Airbus SE,Supplier,0.670330054832129
Airbus SE,Air Canada,Supplier,0.591823175187302
Air Canada,Aveos Fleet Performance Inc,Supplier,0.695136871108504
Aveos Fleet Performance Inc,Air Canada,Supplier,0.70994911838558
Air Canada,Canadian Imperial Bank of Commerce,Supplier,0.287876
Canadian Imperial Bank of Commerce,Air Canada,Supplier,0.51690439488
Air Canada,Chorus Aviation Inc,Supplier,0.715732385797624
Chorus Aviation Inc,Air Canada,Supplier,0.988653852926946
Air Lease Corp,Airbus SAS,Supplier,0.715173301889074
Airbus SAS,Air Lease Corp,Supplier,0.618910334313062
Air Lease Corp,Airbus SE,Supplier,0.999890087746329
Airbus SE,Air Lease Corp,Supplier,0.997705328818846
Air Lease Corp,Boeing Co,Supplier,0.999917441480494
Boeing Co,Air Lease Corp,Supplier,0.998872611365572
Air New Zealand Ltd,Boeing Co,Supplier,0.999959244648609
Boeing Co,Air New Zealand Ltd,Supplier,0.28835488
Air Transport Services Group Inc,DHL Supply Chain sro,Supplier,0.27359296
DHL Supply Chain sro,Air Transport Services Group Inc,Supplier,0.587028
Air Transport Services Group Inc,Deutsche Post AG,Supplier,0.965270364677013
Deutsche Post AG,Air Transport Services Group Inc,Supplier,0.998807726905812
Air Transport Services Group Inc,United States Postal Service,Supplier,0.2760584
United States Postal Service,Air Transport Services Group Inc,Supplier,0.701687967332504
Air Wisconsin Airlines Corp,United Airlines Holdings Inc,Supplier,0.31807496
United Airlines Holdings Inc,Air Wisconsin Airlines Corp,Supplier,0.27891648
Airbus SAS,Emirates Airline,Supplier,0.999592010076892
Emirates Airline,Airbus SAS,Supplier,0.993924590818749
Airbus SAS,LATAM Airlines Group SA,Supplier,0.623086727196058
LATAM Airlines Group SA,Airbus SAS,Supplier,0.571108224
Airbus SAS,MTU Aero Engines AG,Supplier,0.30990688
MTU Aero Engines AG,Airbus SAS,Supplier,0.28404408
Airbus SAS,United Airlines Inc,Supplier,0.3027344
United Airlines Inc,Airbus SAS,Supplier,0.56526993408
Airbus SE,Aviation Capital Group LLC,Supplier,0.667491560402316
Aviation Capital Group LLC,Airbus SE,Supplier,0.630716957966208
Airbus SE,British Airways PLC,Supplier,0.62047626448512
British Airways PLC,Airbus SE,Supplier,0.55320566592
Airbus SE,Capital A Berhad,Supplier,0.523243209792
Capital A Berhad,Airbus SE,Supplier,0.999128296437422
Airbus SE,Controladora Vuela Compania de Aviacion SAB de CV,Supplier,0.968481089786472
Controladora Vuela Compania de Aviacion SAB de CV,Airbus SE,Supplier,0.981856756204058
Airbus SE,Frontier Airlines Holdings Inc,Supplier,0.29278
Frontier Airlines Holdings Inc,Airbus SE,Supplier,0.2924304
Airbus SE,Indigo Partners Inc,Supplier,0.631650577975296
Indigo Partners Inc,Airbus SE,Supplier,0.554272301184
Airbus SE,Inmarsat Group Holdings Ltd,Supplier,0.977376768164769
Inmarsat Group Holdings Ltd,Airbus SE,Supplier,0.680064790298531
Airbus SE,Interglobe Aviation Ltd,Supplier,0.990963668241298
Interglobe Aviation Ltd,Airbus SE,Supplier,0.996910930924777
Airbus SE,Iran Air,Supplier,0.578645972736
Iran Air,Airbus SE,Supplier,0.99930614892685
Airbus SE,LATAM Airlines Group SA,Supplier,0.59950679224343
LATAM Airlines Group SA,Airbus SE,Supplier,0.671856101813816
Airbus SE,Qantas Airways Ltd,Supplier,0.71796906537475
Qantas Airways Ltd,Airbus SE,Supplier,0.999802938935399
Airbus SE,SAS AB,Supplier,0.2869264
SAS AB,Airbus SE,Supplier,0.30832456
Airbus SE,Saudi Arabian Airlines,Supplier,0.31795664
Saudi Arabian Airlines,Airbus SE,Supplier,0.305898
Airbus SE,Spirit Airlines Inc,Supplier,0.56377655616
Spirit Airlines Inc,Airbus SE,Supplier,0.699650028993251
Airbus SE,Starlux Airlines Co Ltd,Supplier,0.27347288
Starlux Airlines Co Ltd,Airbus SE,Supplier,0.560974145664
Airbus SE,Turk Hava Yollari AO,Supplier,0.617199608240026
Turk Hava Yollari AO,Airbus SE,Supplier,0.545189703744
Airbus SE,United Airlines Holdings Inc,Supplier,0.3025496
United Airlines Holdings Inc,Airbus SE,Supplier,0.665328533372179
Aircell Digilink(Essar Group),NK Rosneft' PAO,Supplier,0.577222041504
NK Rosneft' PAO,Aircell Digilink(Essar Group),Supplier,0.2780588
Aircelle SA,Kaman Corp,Supplier,0.26264672
Kaman Corp,Aircelle SA,Supplier,0.301728
Airus Inc,Cisco Systems Inc,Supplier,0.30944224
Cisco Systems Inc,Airus Inc,Supplier,0.640867090243584
Airus Inc,Cisco Systems Inc (Pre-Merger),Supplier,0.30944224
Cisco Systems Inc (Pre-Merger),Airus Inc,Supplier,0.640867090243584
Akastor ASA,Kvaerner ASA,Supplier,0.31975992
Kvaerner ASA,Akastor ASA,Supplier,0.568813728
Aker BP ASA,Subsea 7 SA,Supplier,0.984439137485314
Subsea 7 SA,Aker BP ASA,Supplier,0.615400818087936
Alaska Airlines Inc,Boeing Co,Supplier,0.634493667796224
Boeing Co,Alaska Airlines Inc,Supplier,0.663828225191317
Alcatel Lucent SA,Cellco Partnership,Supplier,0.27668304
Cellco Partnership,Alcatel Lucent SA,Supplier,0.988642394942558
Alcatel Lucent SA,GSI Technology Inc,Supplier,0.706559647786354
GSI Technology Inc,Alcatel Lucent SA,Supplier,0.718868947708526
Alcatel Lucent SA,MMRGlobal Inc,Supplier,0.25765728
MMRGlobal Inc,Alcatel Lucent SA,Supplier,0.300832
Alcatel Lucent SA,Nokia Oyj,Supplier,0.529897728
Nokia Oyj,Alcatel Lucent SA,Supplier,0.620962033061683
Alcatel Lucent SA,SK Telecom Co Ltd,Supplier,0.31626096
SK Telecom Co Ltd,Alcatel Lucent SA,Supplier,0.29044384
Alestra S de RL de CV,NCR Corp,Supplier,0.619953492475085
NCR Corp,Alestra S de RL de CV,Supplier,0.562380435504
Alibaba Cloud Computing Ltd,Remark Holdings Inc,Supplier,0.573622493088
Remark Holdings Inc,Alibaba Cloud Computing Ltd,Supplier,1.0
Alibaba Group Holding Ltd,Tmall Group,Supplier,0.27325952
Tmall Group,Alibaba Group Holding Ltd,Supplier,0.29617792
Alithya Fullscope Solutions Inc,Microsoft Corp,Supplier,0.29970752
Microsoft Corp,Alithya Fullscope Solutions Inc,Supplier,0.29994832
Alithya Group Inc,Microsoft Corp,Supplier,0.558468282
Microsoft Corp,Alithya Group Inc,Supplier,0.27696992
All for One Group SE,Microsoft Corp,Supplier,0.2838424
Microsoft Corp,All for One Group SE,Supplier,0.29442304
Alnylam Pharmaceuticals Inc,Arbutus Biopharma Corp,Supplier,0.999955213197077
Arbutus Biopharma Corp,Alnylam Pharmaceuticals Inc,Supplier,0.998139778191693
Alnylam Pharmaceuticals Inc,Genzyme Corp,Supplier,0.724062723659118
Genzyme Corp,Alnylam Pharmaceuticals Inc,Supplier,0.994232198624405
Alnylam Pharmaceuticals Inc,Vir Biotechnology Inc,Supplier,0.292586
Vir Biotechnology Inc,Alnylam Pharmaceuticals Inc,Supplier,0.55730201088
Alphabet Inc,Amazon.com Inc,Supplier,0.308048
Amazon.com Inc,Alphabet Inc,Supplier,0.3043476
Alphabet Inc,Waymo LLC,Supplier,0.2801452
Waymo LLC,Alphabet Inc,Supplier,0.543915901824
Altaba Inc,Google LLC,Supplier,0.993503214729896
Google LLC,Altaba Inc,Supplier,0.708694433553744
Altaba Inc,Microsoft Corp,Supplier,0.999997919323352
Microsoft Corp,Altaba Inc,Supplier,0.995432538497848
Altaba Inc,Nokia Oyj,Supplier,0.639156559650816
Nokia Oyj,Altaba Inc,Supplier,0.581592050832
Altaba Inc,Verizon Communications Inc,Supplier,0.67032142992093
Verizon Communications Inc,Altaba Inc,Supplier,0.3013652
Altera Corp,Intel Corp,Supplier,0.969103234614111
Intel Corp,Altera Corp,Supplier,0.97416716947056
Altera Infrastructure LP,Shell PLC,Supplier,0.31224776
Shell PLC,Altera Infrastructure LP,Supplier,0.30318912
Alteryx Inc,Microsoft Corp,Supplier,0.28192592
Microsoft Corp,Alteryx Inc,Supplier,0.31916
Alteryx Inc,Pricewaterhousecoopers LLP,Supplier,0.29163872
Pricewaterhousecoopers LLP,Alteryx Inc,Supplier,0.57239436
Amazon Web Services Inc,Cisco Systems Inc (Pre-Merger),Supplier,0.668063439447106
Cisco Systems Inc (Pre-Merger),Amazon Web Services Inc,Supplier,0.5727028656
Amazon Web Services Inc,Google LLC,Supplier,0.981874751784674
Google LLC,Amazon Web Services Inc,Supplier,0.675007409871705
Amazon Web Services Inc,Intel Corp,Supplier,0.975325320933122
Intel Corp,Amazon Web Services Inc,Supplier,0.3057948
Amazon Web Services Inc,International Business Machines Corp,Supplier,0.973613555172998
International Business Machines Corp,Amazon Web Services Inc,Supplier,0.702863424154992
Amazon Web Services Inc,Microsoft Corp,Supplier,0.999975871346546
Microsoft Corp,Amazon Web Services Inc,Supplier,0.999578680327685
Amazon Web Services Inc,NetApp Inc,Supplier,0.28975424
NetApp Inc,Amazon Web Services Inc,Supplier,0.3006672
Amazon Web Services Inc,Nokia Oyj,Supplier,0.708844061770472
Nokia Oyj,Amazon Web Services Inc,Supplier,0.677531434354987
Amazon Web Services Inc,NortonLifeLock Inc,Supplier,0.54071267136
NortonLifeLock Inc,Amazon Web Services Inc,Supplier,0.6246145166592
Amazon Web Services Inc,Qualys Inc,Supplier,0.30645704
Qualys Inc,Amazon Web Services Inc,Supplier,0.31361424
Amazon Web Services Inc,VMware Inc,Supplier,0.999520601386522
VMware Inc,Amazon Web Services Inc,Supplier,0.99806865338102
Amazon Web Services Inc,Verizon Communications Inc,Supplier,0.687377200127734
Verizon Communications Inc,Amazon Web Services Inc,Supplier,0.685044050368179
Amazon.com Inc,BP PLC,Supplier,0.31459648
BP PLC,Amazon.com Inc,Supplier,0.30992144
Amazon.com Inc,Casino Guichard Perrachon SA,Supplier,0.2817588
Casino Guichard Perrachon SA,Amazon.com Inc,Supplier,0.278636
Amazon.com Inc,Chico's FAS Inc,Supplier,0.2860496
Chico's FAS Inc,Amazon.com Inc,Supplier,0.30266624
Amazon.com Inc,Dell Inc,Supplier,0.30375808
Dell Inc,Amazon.com Inc,Supplier,0.26775304
Amazon.com Inc,GlobalData PLC,Supplier,0.30857792
GlobalData PLC,Amazon.com Inc,Supplier,0.30202864
Amazon.com Inc,Home Box Office Inc,Supplier,0.657677066619615
Home Box Office Inc,Amazon.com Inc,Supplier,0.989819363656155
Amazon.com Inc,International Business Machines Corp,Supplier,0.626062154877581
International Business Machines Corp,Amazon.com Inc,Supplier,0.718792177733653
Amazon.com Inc,Kohls Corp,Supplier,0.61874929291392
Kohls Corp,Amazon.com Inc,Supplier,0.644525038855373
Amazon.com Inc,Nike Inc,Supplier,0.656597588635642
Nike Inc,Amazon.com Inc,Supplier,0.544701302688
Amazon.com Inc,Overstock.com Inc,Supplier,0.29031712
Overstock.com Inc,Amazon.com Inc,Supplier,0.561031597056
Amazon.com Inc,PillPack Inc,Supplier,0.655769341675532
PillPack Inc,Amazon.com Inc,Supplier,0.2944736
Amazon.com Inc,Prime Air LLC,Supplier,0.53460590592
Prime Air LLC,Amazon.com Inc,Supplier,0.638559156805018
Amazon.com Inc,Roku Inc,Supplier,0.54705732864
Roku Inc,Amazon.com Inc,Supplier,0.29636288
Amazon.com Inc,Startek Inc,Supplier,0.697038891531944
Startek Inc,Amazon.com Inc,Supplier,0.28941008
Amazon.com Inc,Stein Mart Inc,Supplier,0.30737096
Stein Mart Inc,Amazon.com Inc,Supplier,0.28857816
Amazon.com Inc,Stellantis NV,Supplier,0.63045583574281
Stellantis NV,Amazon.com Inc,Supplier,0.72315162125911
Amazon.com Inc,Sun Country Airlines Holdings Inc,Supplier,0.528834012672
Sun Country Airlines Holdings Inc,Amazon.com Inc,Supplier,0.57949004976
Amazon.com Inc,T-Mobile US Inc,Supplier,0.629151080936371
T-Mobile US Inc,Amazon.com Inc,Supplier,0.30794576
Amazon.com Inc,TWDC Enterprises 18 Corp,Supplier,0.27306
TWDC Enterprises 18 Corp,Amazon.com Inc,Supplier,0.718976957412504
Amazon.com Inc,Tencent Holdings Ltd,Supplier,0.30142496
Tencent Holdings Ltd,Amazon.com Inc,Supplier,0.29854848
Amazon.com Inc,Uber Technologies Inc,Supplier,0.28088952
Uber Technologies Inc,Amazon.com Inc,Supplier,0.26662088
Amazon.com Inc,ViacomCBS Inc,Supplier,0.51681359088
ViacomCBS Inc,Amazon.com Inc,Supplier,0.562138342896
Amazon.com Inc,Visa Inc,Supplier,0.656181971892834
Visa Inc,Amazon.com Inc,Supplier,0.29216
Amazon.com Inc,Western Union Co,Supplier,0.699850154258305
Western Union Co,Amazon.com Inc,Supplier,0.591066889944269
Amazon.com Inc,Whole Foods Market Inc,Supplier,0.999995384577781
Whole Foods Market Inc,Amazon.com Inc,Supplier,0.999999996088198
Amazon.com Inc,eBay Inc,Supplier,0.696261554879369
eBay Inc,Amazon.com Inc,Supplier,0.607075167495168
Ambarella Inc,Cadence Design Systems Inc,Supplier,0.28734
Cadence Design Systems Inc,Ambarella Inc,Supplier,0.26719104
American Airlines Group Inc,Envision Healthcare Corp,Supplier,0.578013850752
Envision Healthcare Corp,American Airlines Group Inc,Supplier,0.28438208
American Airlines Group Inc,Orbitz Worldwide Inc,Supplier,0.547071372384
Orbitz Worldwide Inc,American Airlines Group Inc,Supplier,0.5527067664
Anadarko Petroleum Corp,BP PLC,Supplier,0.540734379744
BP PLC,Anadarko Petroleum Corp,Supplier,0.546705593472
Anadarko Petroleum Corp,Chevron Corp,Supplier,0.27915792
Chevron Corp,Anadarko Petroleum Corp,Supplier,0.530794911264
Anaplan Inc,HP Inc,Supplier,0.56079943104
HP Inc,Anaplan Inc,Supplier,0.556771679904
Angi Inc,Match Group Inc,Supplier,0.607650317976576
Match Group Inc,Angi Inc,Supplier,0.676763955258655
Anhui Jianghuai Automobile Group Corp Ltd,Navistar International Corp,Supplier,0.30484592
Navistar International Corp,Anhui Jianghuai Automobile Group Corp Ltd,Supplier,0.28045176
Apple Inc,Cypress Semiconductor Corp,Supplier,0.29683088
Cypress Semiconductor Corp,Apple Inc,Supplier,0.27660416
Apple Inc,Epic Games Inc,Supplier,0.695113470809124
Epic Games Inc,Apple Inc,Supplier,0.985772236797206
Apple Inc,Fitbit Inc,Supplier,0.2917312
Fitbit Inc,Apple Inc,Supplier,0.26087064
Apple Inc,GameStop Corp,Supplier,0.3079408
GameStop Corp,Apple Inc,Supplier,0.3107312
Apple Inc,Home Box Office Inc,Supplier,0.27644576
Home Box Office Inc,Apple Inc,Supplier,0.27574208
Apple Inc,International Business Machines Corp,Supplier,0.559286978592
International Business Machines Corp,Apple Inc,Supplier,0.5524681944
Apple Inc,JAMF Software LLC,Supplier,0.30009952
JAMF Software LLC,Apple Inc,Supplier,0.31168528
Apple Inc,JD.Com Inc,Supplier,0.576447345648
JD.Com Inc,Apple Inc,Supplier,0.27367936
Apple Inc,MediaTek Inc,Supplier,0.543403174656
MediaTek Inc,Apple Inc,Supplier,0.62449194862871
Apple Inc,Meta Platforms Inc,Supplier,0.996127956142204
Meta Platforms Inc,Apple Inc,Supplier,0.694861640426573
Apple Inc,NSO Group Technologies Ltd,Supplier,0.595053653727744
NSO Group Technologies Ltd,Apple Inc,Supplier,0.54383208384
Apple Inc,NVIDIA Corp,Supplier,0.980553207689365
NVIDIA Corp,Apple Inc,Supplier,0.551182393056
Apple Inc,SAP SE,Supplier,0.575980952592
SAP SE,Apple Inc,Supplier,0.29230592
Apple Inc,TWDC Enterprises 18 Corp,Supplier,0.607687017613824
TWDC Enterprises 18 Corp,Apple Inc,Supplier,0.599967477305933
Apple Inc,Tile Shop Holdings Inc,Supplier,0.27862304
Tile Shop Holdings Inc,Apple Inc,Supplier,0.2890064
Apple Inc,Walgreens Boots Alliance Inc,Supplier,0.2704964
Walgreens Boots Alliance Inc,Apple Inc,Supplier,0.534863822016
Applied DNA Sciences Inc,Telefonaktiebolaget LM Ericsson,Supplier,0.648464536845638
Telefonaktiebolaget LM Ericsson,Applied DNA Sciences Inc,Supplier,0.2939552
Applied Materials Inc,Intel Corp,Supplier,0.29907584
Intel Corp,Applied Materials Inc,Supplier,0.673559052033589
Aptina Imaging Corp,Micron Technology Inc,Supplier,0.987446189140172
Micron Technology Inc,Aptina Imaging Corp,Supplier,0.677160262482022
Aptiv PLC,BlackBerry Ltd,Supplier,0.666514706638398
BlackBerry Ltd,Aptiv PLC,Supplier,0.559302172128
Aptiv PLC,General Motors Co,Supplier,0.28663304
General Motors Co,Aptiv PLC,Supplier,0.997606296034974
AquaVenture Holdings Ltd,Petroleos de Venezuela SA,Supplier,0.32
Petroleos de Venezuela SA,AquaVenture Holdings Ltd,Supplier,0.29048608
Archer Ltd,Seadrill Ltd (HAMILTON),Supplier,0.604389428205312
Seadrill Ltd (HAMILTON),Archer Ltd,Supplier,0.29528
Archer Topaz Limited,Seadrill Ltd (HAMILTON),Supplier,0.556031692032
Seadrill Ltd (HAMILTON),Archer Topaz Limited,Supplier,0.68656691473531
Argos Therapeutics Inc,BP PLC,Supplier,0.28899856
BP PLC,Argos Therapeutics Inc,Supplier,0.61482882828073
Argos Therapeutics Inc,Gunvor Group Ltd,Supplier,0.564728551968
Gunvor Group Ltd,Argos Therapeutics Inc,Supplier,0.525237780864
Arianespace SASU,ViaSat Inc,Supplier,0.535928323584
ViaSat Inc,Arianespace SASU,Supplier,0.67629712551168
Arista Networks Inc,Cisco Systems Inc (Pre-Merger),Supplier,0.3138352
Cisco Systems Inc (Pre-Merger),Arista Networks Inc,Supplier,0.2856188
Ashok Leyland Ltd,Meritor Inc,Supplier,0.57809025264
Meritor Inc,Ashok Leyland Ltd,Supplier,0.30448976
Asiainfo Holdings LLC,International Business Machines Corp,Supplier,0.30801376
International Business Machines Corp,Asiainfo Holdings LLC,Supplier,0.29077
Asknet Solutions AG,Microsoft Corp,Supplier,0.54737976
Microsoft Corp,Asknet Solutions AG,Supplier,0.63085702345728
Atlas Iron Pty Ltd,Pilbara Minerals Ltd,Supplier,0.6319801557984
Pilbara Minerals Ltd,Atlas Iron Pty Ltd,Supplier,0.55381219728
Audi AG,Bayerische Motoren Werke AG,Supplier,0.633187881502464
Bayerische Motoren Werke AG,Audi AG,Supplier,0.532861321728
Australian Mines Ltd,SK Innovation Co Ltd,Supplier,0.700571743664066
SK Innovation Co Ltd,Australian Mines Ltd,Supplier,0.709817733333184
Autoliv Inc,Stellantis NV,Supplier,0.29302544
Stellantis NV,Autoliv Inc,Supplier,0.549714908448
Autoliv Inc,Veoneer AB,Supplier,0.6346674960384
